15:19:38  CPU mode
15:19:38  ============================================================
15:19:38  AVE FULL PIPELINE
15:19:38  ============================================================
15:19:38  
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  STAGE 1 — FEATURE EXTRACTION
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  Unique videos   : 4097
15:19:38  Already done    : 0
15:19:38  To extract      : 4097
15:19:38  Loading VGGish ...
15:20:53  VGGish ready.
15:20:53  Loading R(2+1)D-18 ...
15:21:31  R(2+1)D ready.
15:21:38    [   1/4097] c---zaDCTaE  7.5s  ETA 509 min
15:24:39    [  85/4097] MCINU6Rb75E  2.6s  ETA 148 min
15:24:40    [  86/4097] ovlSmajJXxc  1.5s  ETA 147 min
15:24:42    [  87/4097] XtayTXu581w  1.5s  ETA 147 min
15:24:47    [  88/4097] 1_4j6VRHZAw  5.5s  ETA 149 min
15:24:49    [  89/4097] Qocj8lVXvWA  1.9s  ETA 149 min
15:24:53    [  90/4097] e_5ngCwYckE  4.1s  ETA 150 min
15:24:56    [  91/4097] 3IQHzT5O89g  2.2s  ETA 150 min
15:25:00    [  92/4097] rAk7tyXYIU8  4.2s  ETA 152 min
15:25:02    [  93/4097] Zlwu4AROYzg  1.9s  ETA 151 min
15:25:06    [  94/4097] nUo8RVTx_d4  4.1s  ETA 152 min
15:25:09    [  95/4097] Gavpgq1WWh4  3.2s  ETA 153 min
15:25:11    [  96/4097] IW-EBHnhHAI  1.8s  ETA 153 min
15:25:12    [  97/4097] oM5CRdBtKao  1.2s  ETA 152 min
15:25:14    [  98/4097] 9U3n8WVLTKQ  2.3s  ETA 152 min
15:25:16    [  99/4097] oKkx_7snEP8  1.4s  ETA 151 min
15:25:19    [ 100/4097] qMZ1nj4fDas  3.2s  ETA 152 min
15:25:20    [ 101/4097] 88pXcwZowhM  1.6s  ETA 151 min
15:25:25    [ 102/4097] QPXMFPTuxJM  5.0s  ETA 153 min
15:25:27    [ 103/4097] b63av9FMnMA  1.0s  ETA 152 min
15:25:30    [ 104/4097] otz4AffLKKA  3.0s  ETA 153 min
15:25:31    [ 105/4097] cjhDu8BokA0  1.3s  ETA 152 min
15:25:33    [ 106/4097] i5DOcfr2h18  2.5s  ETA 152 min
15:25:35    [ 107/4097] aMacjQ9_4FY  1.6s  ETA 152 min
15:25:36    [ 108/4097] fbjHO8McLxk  1.1s  ETA 151 min
15:25:38    [ 109/4097] HE6-xn3yROY  1.7s  ETA 150 min
15:25:39    [ 110/4097] V8jbmbQk0yI  1.7s  ETA 150 min
15:25:40    [ 111/4097] RmnYpN3XxXw  1.2s  ETA 149 min
15:25:42    [ 112/4097] iXpsqeezqJg  1.6s  ETA 149 min
15:25:44    [ 113/4097] 7DbsH87BZHs  2.1s  ETA 149 min
15:25:48    [ 114/4097] MQLRFWXq8MY  3.8s  ETA 150 min
15:25:53    [ 115/4097] 2GhLSOPjGMA  4.6s  ETA 151 min
15:25:54    [ 116/4097] 80TUHi-3QuI  1.1s  ETA 150 min
15:25:55    [ 117/4097] Rnc4N2vVoV8  1.6s  ETA 150 min
15:25:58    [ 118/4097] aAM11PIFB4I  2.8s  ETA 150 min
15:26:00    [ 119/4097] Sqgc73hM6kA  1.8s  ETA 150 min
15:26:03    [ 120/4097] LUio86WKdfc  3.3s  ETA 150 min
15:26:05    [ 121/4097] tr-C-X-GOXk  2.3s  ETA 150 min
15:26:06    [ 122/4097] Rar7ZLJbxO8  0.9s  ETA 150 min
15:26:08    [ 123/4097] kXsp1e7LuvA  1.3s  ETA 149 min
15:26:09    [ 124/4097] JYtxd-8D6OU  1.5s  ETA 149 min
15:26:10    [ 125/4097] Tc1822d78oA  1.3s  ETA 148 min
15:26:12    [ 126/4097] g74_yD24iks  1.4s  ETA 148 min
15:26:13    [ 127/4097] -J2WJaG1Dd4  1.5s  ETA 147 min
15:26:16    [ 128/4097] g4yvlYbG1Mg  3.2s  ETA 148 min
15:26:19    [ 129/4097] D-1zfO68xNg  2.7s  ETA 148 min
15:26:22    [ 130/4097] frml0pfb_Jk  2.7s  ETA 148 min
15:26:24    [ 131/4097] HeZr6sKmSgM  1.9s  ETA 148 min
15:26:27    [ 132/4097] e0vkDOf20AU  3.3s  ETA 148 min
15:26:32    [ 133/4097] dS8UpWyUilQ  4.6s  ETA 149 min
15:26:34    [ 134/4097] f8uli6eFAss  2.2s  ETA 149 min
15:26:36    [ 135/4097] dVeOxT3fT8c  2.5s  ETA 149 min
15:26:38    [ 136/4097] GEJqlH0mCX8  1.8s  ETA 149 min
15:26:40    [ 137/4097] 3uDl8Uyu-Fc  1.5s  ETA 149 min
15:26:41    [ 138/4097] aCFSsc8Q4So  1.7s  ETA 148 min
15:26:43    [ 139/4097] oCYJZmi--QQ  1.6s  ETA 148 min
15:26:48    [ 140/4097] 7KKnsh4AkQk  4.7s  ETA 149 min
15:26:49    [ 141/4097] g55aHorM9fc  1.3s  ETA 149 min
15:26:50    [ 142/4097] uYB1VQ52h6s  1.5s  ETA 148 min
15:26:52    [ 143/4097] FuKgspEtMTo  1.6s  ETA 148 min
15:26:53    [ 144/4097] MH3m4AwEcRY  1.3s  ETA 147 min
15:26:57    [ 145/4097] A7L1ppU17Is  3.8s  ETA 148 min
15:27:01    [ 146/4097] d88slBelHe8  3.9s  ETA 149 min
15:27:03    [ 147/4097] TEAHz5kw8dM  1.9s  ETA 149 min
15:27:04    [ 148/4097] b3AAWs6-uas  1.3s  ETA 148 min
15:27:07    [ 149/4097] eRF4KAXdn0w  2.8s  ETA 148 min
15:27:11    [ 150/4097] gjCew0Kp0iM  3.5s  ETA 149 min
15:27:12    [ 151/4097] 3ABx8xzQcs4  1.2s  ETA 148 min
15:27:13    [ 152/4097] C6PT_vPExmc  1.5s  ETA 148 min
15:27:14    [ 153/4097] 0I_WwkebbeM  1.2s  ETA 148 min
15:27:17    [ 154/4097] -ccciEuH9FE  2.3s  ETA 148 min
15:27:19    [ 155/4097] 0PGdsvvYLag  2.3s  ETA 148 min
15:27:21    [ 156/4097] 0KRqW2_b2wI  1.7s  ETA 147 min
15:27:23    [ 157/4097] 00N83yxKYUI  2.0s  ETA 147 min
15:27:24    [ 158/4097] 0FJMXT1NJQM  1.5s  ETA 147 min
15:27:26    [ 159/4097] 08IBKf1jJQ8  2.1s  ETA 147 min
15:27:28    [ 160/4097] -UCPBAWhQAM  1.3s  ETA 146 min
15:27:29    [ 161/4097] 0RrXwp-m6uY  1.8s  ETA 146 min
15:27:34    [ 162/4097] 0779k0IOxkw  4.5s  ETA 147 min
15:27:37    [ 163/4097] -AVfxHm4Y9A  2.8s  ETA 147 min
15:27:39    [ 164/4097] 0LJrMyxxxfo  2.1s  ETA 147 min
15:27:42    [ 165/4097] -Yus8Ut2fUE  2.6s  ETA 147 min
15:27:43    [ 166/4097] -Jnhn1NE54g  1.9s  ETA 147 min
15:27:46    [ 167/4097] -3jhHgFEUp4  2.0s  ETA 147 min
15:27:49    [ 168/4097] -EsCFzhpfCI  3.5s  ETA 147 min
15:27:50    [ 169/4097] -H6BJfRqeno  1.4s  ETA 147 min
15:27:53    [ 170/4097] -vx9zMc57AU  2.3s  ETA 147 min
15:27:57    [ 171/4097] -GSCu896zWQ  4.7s  ETA 148 min
15:27:59    [ 172/4097] 0MWno7YOWK4  1.6s  ETA 148 min
15:28:01    [ 173/4097] 0dOhn114Xng  2.4s  ETA 148 min
15:28:03    [ 174/4097] 0pe9Azqa3N8  2.0s  ETA 148 min
15:28:05    [ 175/4097] 0GUjeQgnxq0  2.0s  ETA 147 min
15:28:07    [ 176/4097] -2mdF47kZ2o  2.0s  ETA 147 min
15:28:10    [ 177/4097] 0rv-EVSEUUU  2.4s  ETA 147 min
15:28:11    [ 178/4097] 04pxOCRZfhg  1.6s  ETA 147 min
15:28:13    [ 179/4097] 0RoAsnTIm5Q  1.3s  ETA 147 min
15:28:14    [ 180/4097] -tbgjodN-EU  1.6s  ETA 146 min
15:28:17    [ 181/4097] 0zPU4mw3bvY  2.5s  ETA 146 min
15:28:19    [ 182/4097] 0I9Vt2x71d8  2.2s  ETA 146 min
15:28:20    [ 183/4097] 0qvQIuQoODo  0.9s  ETA 146 min
15:28:22    [ 184/4097] -v9k87jYE0Q  1.7s  ETA 146 min
15:28:23    [ 185/4097] 00AoQ3PeETk  1.6s  ETA 145 min
15:28:26    [ 186/4097] -pi6fEexydo  3.2s  ETA 146 min
15:28:29    [ 187/4097] 0duq5feaxqY  2.5s  ETA 146 min
15:28:30    [ 188/4097] -TCDqe327us  1.5s  ETA 145 min
15:28:32    [ 189/4097] 0wVM3uHLbfE  2.0s  ETA 145 min
15:28:34    [ 190/4097] 14S_r3opEFY  1.7s  ETA 145 min
15:28:37    [ 191/4097] 17PmRIJG9BQ  3.0s  ETA 145 min
15:28:40    [ 192/4097] 0vjGsf9FLgE  3.6s  ETA 146 min
15:28:43    [ 193/4097] -mstarcmomw  2.1s  ETA 146 min
15:28:44    [ 194/4097] -XmzKGZUnA4  1.2s  ETA 145 min
15:28:48    [ 195/4097] 0BhWZstb-Ns  3.8s  ETA 146 min
15:28:50    [ 196/4097] 0Glu5tCvIo0  2.2s  ETA 146 min
15:28:51    [ 197/4097] -n4MmiWZnGc  1.0s  ETA 145 min
15:28:53    [ 198/4097] -N0eWDX5v8Y  2.4s  ETA 145 min
15:28:55    [ 199/4097] 0rpm7fu8kOA  1.9s  ETA 145 min
15:28:57    [ 200/4097] 15pI-cO__lE  2.1s  ETA 145 min
15:28:59    [ 201/4097] 0mwUH8lRgFc  1.7s  ETA 145 min
15:29:00    [ 202/4097] -qesxG4nu14  1.1s  ETA 144 min
15:29:26    [ 203/4097] -oxIb4pGuh4  25.6s  ETA 152 min
15:29:28    [ 204/4097] 17gznXK9h44  2.2s  ETA 152 min
15:29:31    [ 205/4097] -j9TbKCJMwI  3.4s  ETA 152 min
15:29:33    [ 206/4097] -ogkuDwDw_s  1.5s  ETA 152 min
15:29:34    [ 207/4097] 0fLBygmve-E  1.0s  ETA 151 min
15:29:35    [ 208/4097] -J_mFjrsMlo  1.7s  ETA 151 min
15:29:38    [ 209/4097] 0RnOTiwvgK4  2.2s  ETA 151 min
15:29:40    [ 210/4097] -FdpRMw2CYs  2.4s  ETA 151 min
15:29:43    [ 211/4097] 06OCI6Yo7a0  2.7s  ETA 151 min
15:29:45    [ 212/4097] 0FF2Dm9GMDE  1.9s  ETA 151 min
15:29:46    [ 213/4097] 17tdWaF8VdA  1.3s  ETA 150 min
15:29:48    [ 214/4097] 0BV2NBQzQ5A  2.3s  ETA 150 min
15:29:50    [ 215/4097] 0zz6Hz52uHs  1.7s  ETA 150 min
15:29:54    [ 216/4097] 0rCdk2iMHSQ  3.6s  ETA 151 min
15:29:55    [ 217/4097] 018WshwFA94  1.8s  ETA 150 min
15:29:58    [ 218/4097] -RlKkB4IcwE  2.9s  ETA 150 min
15:30:00    [ 219/4097] 0PS5dpjl7Vk  1.5s  ETA 150 min
15:30:01    [ 220/4097] -4p4mZRIJ1s  1.1s  ETA 150 min
15:30:02    [ 221/4097] -JDu_58J-vY  1.6s  ETA 150 min
15:30:04    [ 222/4097] --HuBNHXu9I  1.1s  ETA 149 min
15:30:05    [ 223/4097] 0Bq0HyHm6_8  1.5s  ETA 149 min
15:30:10    [ 224/4097] 0z5DjT0a860  5.0s  ETA 150 min
15:30:12    [ 225/4097] 0Te4VzJujsw  2.1s  ETA 150 min
15:30:14    [ 226/4097] -BQU6akf0qQ  1.4s  ETA 149 min
15:30:17    [ 227/4097] 0BtXs8pJmOg  3.8s  ETA 150 min
15:30:24    [ 228/4097] 0f7iF3vw50Y  7.0s  ETA 151 min
15:30:26    [ 229/4097] -q4HLzyMUxc  1.2s  ETA 151 min
15:30:27    [ 230/4097] -nJIexRFfVQ  1.6s  ETA 150 min
15:30:29    [ 231/4097] -JZQwilSX9k  1.9s  ETA 150 min
15:30:30    [ 232/4097] -t03ktje7jE  1.1s  ETA 150 min
15:30:34    [ 233/4097] -NhJg_6k9CU  3.7s  ETA 150 min
15:30:36    [ 234/4097] 0EJFXZmK4LM  1.8s  ETA 150 min
15:30:38    [ 235/4097] 04Q-e-iNVi8  2.1s  ETA 150 min
15:30:40    [ 236/4097] -oLwINFIPQs  2.5s  ETA 150 min
15:30:43    [ 237/4097] 0-aEZiPFkzE  2.9s  ETA 150 min
15:30:45    [ 238/4097] -s3-Hnlvr3c  1.8s  ETA 150 min
15:30:47    [ 239/4097] -wRJDykO59w  1.9s  ETA 150 min
15:30:50    [ 240/4097] -YpRG5qEj-A  2.7s  ETA 150 min
15:30:55    [ 241/4097] 0-tUz87_uLU  5.3s  ETA 150 min
15:30:56    [ 242/4097] 17AsI52QIx8  1.4s  ETA 150 min
15:30:58    [ 243/4097] 03tTdPYjDbI  1.9s  ETA 150 min
15:30:59    [ 244/4097] 0teEyWmhLj4  1.2s  ETA 150 min
15:31:01    [ 245/4097] -LvLoYGVfX4  2.1s  ETA 149 min
15:31:03    [ 246/4097] 0HGsJff6DOo  2.0s  ETA 149 min
15:31:05    [ 247/4097] -lyM-5oOCjI  1.3s  ETA 149 min
15:31:06    [ 248/4097] -QmzOJHDwH8  1.5s  ETA 149 min
15:31:10    [ 249/4097] 0doFG6PA1vs  3.7s  ETA 149 min
15:31:12    [ 250/4097] 0MosKyMBihk  2.2s  ETA 149 min
15:31:14    [ 251/4097] 0qPqcZFmwEQ  1.8s  ETA 149 min
15:31:15    [ 252/4097] 00vW6hUFKRQ  1.6s  ETA 149 min
15:31:17    [ 253/4097] -_TT79lrHvU  1.6s  ETA 148 min
15:31:18    [ 254/4097] -3rT1s94s3c  1.4s  ETA 148 min
15:31:20    [ 255/4097] 0Qt3f3Mj2Gs  1.8s  ETA 148 min
15:31:22    [ 256/4097] -oQdrnUIhVw  1.4s  ETA 148 min
15:31:23    [ 257/4097] -tmrgIt90mA  1.6s  ETA 148 min
15:31:25    [ 258/4097] 0g_yL-_a0k8  1.7s  ETA 147 min
15:31:27    [ 259/4097] 0wl59FGpEIw  2.4s  ETA 147 min
15:31:30    [ 260/4097] -1UcysYcIKg  3.0s  ETA 147 min
15:31:36    [ 261/4097] 11RPJloKKWw  5.1s  ETA 148 min
15:31:37    [ 262/4097] -DynYB9o5yg  2.0s  ETA 148 min
15:31:39    [ 263/4097] 0giAfYq9oVM  1.6s  ETA 148 min
15:31:41    [ 264/4097] 0JDc79hZo5k  1.7s  ETA 148 min
15:31:43    [ 265/4097] -W_RCk7aPOg  2.6s  ETA 148 min
15:31:45    [ 266/4097] -q_9x5bLKyM  1.9s  ETA 147 min
15:31:46    [ 267/4097] 0Gr7r7oTlqo  1.2s  ETA 147 min
15:31:48    [ 268/4097] -hChcJAh5N0  1.5s  ETA 147 min
15:31:50    [ 269/4097] -9R4WPSKE3Q  1.9s  ETA 147 min
15:31:52    [ 270/4097] -ipvocZCWjs  1.9s  ETA 147 min
15:31:53    [ 271/4097] 0jK24ewcIdE  1.6s  ETA 146 min
15:31:56    [ 272/4097] 0X_M1R4YwP4  2.2s  ETA 146 min
15:31:58    [ 273/4097] 0MekMqiPc3A  2.3s  ETA 146 min
15:32:01    [ 274/4097] -2xvB13pgTY  3.5s  ETA 147 min
15:32:06    [ 275/4097] -E-Bd2J7Efo  4.6s  ETA 147 min
15:32:08    [ 276/4097] 0_p7OHdHpiM  2.3s  ETA 147 min
15:32:11    [ 277/4097] -v_0rhBaWfQ  2.4s  ETA 147 min
15:32:13    [ 278/4097] 0SbjiZgDK-M  2.0s  ETA 147 min
15:32:14    [ 279/4097] 03Uae8NuzNE  1.3s  ETA 147 min
15:32:16    [ 280/4097] -eF_bRS5kP0  2.0s  ETA 147 min
15:32:17    [ 281/4097] 16z_7p3kOQw  1.5s  ETA 146 min
15:32:19    [ 282/4097] -sWYVL21pew  2.0s  ETA 146 min
15:32:21    [ 283/4097] 0yjCNGc9Nrs  1.7s  ETA 146 min
15:32:22    [ 284/4097] 0nqBKZrV_4o  1.3s  ETA 146 min
15:32:25    [ 285/4097] 0i24WckNCeE  2.5s  ETA 146 min
15:32:27    [ 286/4097] 0Jm6aODb5JQ  2.2s  ETA 146 min
15:32:32    [ 287/4097] 0SLli-eh_Dw  4.8s  ETA 146 min
15:32:33    [ 288/4097] 092mHVjlvaM  1.2s  ETA 146 min
15:32:35    [ 289/4097] -tw8rn9BZ7o  2.3s  ETA 146 min
15:32:37    [ 290/4097] -dqRTbErvlU  2.0s  ETA 146 min
15:32:39    [ 291/4097] 131FX2gFLiE  1.4s  ETA 146 min
15:32:41    [ 292/4097] 0NYUK2Ba3eA  2.2s  ETA 146 min
15:32:42    [ 293/4097] 13FuRK9C3Yc  1.3s  ETA 145 min
15:32:44    [ 294/4097] -nJBHEz-3ls  1.3s  ETA 145 min
15:32:46    [ 295/4097] 7KSXUptBBYQ  2.0s  ETA 145 min
15:32:48    [ 296/4097] N-UeTwaW5UQ  2.6s  ETA 145 min
15:32:56    [ 297/4097] M7hcb2v2Z_0  7.6s  ETA 146 min
15:32:57    [ 298/4097] CULZ1SLVGss  1.3s  ETA 146 min
15:32:58    [ 299/4097] As5Pqpb3fsg  1.3s  ETA 146 min
15:33:00    [ 300/4097] DRSiR-dkmU8  1.2s  ETA 145 min
15:33:03    [ 301/4097] FsTXNxD8M2A  3.2s  ETA 145 min
15:33:04    [ 302/4097] B9C0Op7MmkM  1.5s  ETA 145 min
15:33:07    [ 303/4097] FVIFuRVAF5U  2.8s  ETA 145 min
15:33:08    [ 304/4097] L19JIkJveBA  1.4s  ETA 145 min
15:33:10    [ 305/4097] Joa_c5pYD7Y  2.0s  ETA 145 min
15:33:13    [ 306/4097] 077_m7wNT3I  2.4s  ETA 145 min
15:33:15    [ 307/4097] 7jUSEnnh5Ew  1.9s  ETA 145 min
15:33:16    [ 308/4097] EIy5p1Xdgxs  1.6s  ETA 145 min
15:33:18    [ 309/4097] MXBgLjHZcHA  1.4s  ETA 144 min
15:33:20    [ 310/4097] 2xobBryGD3A  2.4s  ETA 144 min
15:33:23    [ 311/4097] 2_ljDKHdv6g  2.5s  ETA 144 min
15:33:26    [ 312/4097] N4QGTrobCxs  3.1s  ETA 145 min
15:33:28    [ 313/4097] HdOeLKqorQU  1.8s  ETA 144 min
15:33:29    [ 314/4097] 03LzjpuHPT0  1.7s  ETA 144 min
15:33:31    [ 315/4097] -nvJc7KvBJ8  2.0s  ETA 144 min
15:33:33    [ 316/4097] 2R8c_BR_kSQ  1.5s  ETA 144 min
15:33:35    [ 317/4097] FM23Hwa0JxI  2.1s  ETA 144 min
15:33:37    [ 318/4097] 1uSavuICk1M  1.9s  ETA 144 min
15:33:38    [ 319/4097] 2Pdig-LaQo0  1.1s  ETA 144 min
15:33:40    [ 320/4097] KibkO30TIGQ  1.9s  ETA 143 min
15:33:41    [ 321/4097] E_1Asfq8it4  1.3s  ETA 143 min
15:33:43    [ 322/4097] 6e0_dUsCsVU  1.5s  ETA 143 min
15:33:45    [ 323/4097] 652KFi0iYBc  2.4s  ETA 143 min
15:33:47    [ 324/4097] LyUDAW2U9Z8  2.1s  ETA 143 min
15:33:51    [ 325/4097] FUDwqBG3YaQ  3.4s  ETA 143 min
15:33:53    [ 326/4097] J3_Q0qL3raQ  2.2s  ETA 143 min
15:33:55    [ 327/4097] FIzJB8UAB7s  2.1s  ETA 143 min
15:33:57    [ 328/4097] 2QKUFwKvRbA  2.5s  ETA 143 min
15:34:03    [ 329/4097] MkJuGDph-1k  5.5s  ETA 144 min
15:34:05    [ 330/4097] 8VFNMp5K9zM  2.5s  ETA 144 min
15:34:07    [ 331/4097] Hdu21U_FVs8  1.8s  ETA 143 min
15:34:09    [ 332/4097] 8ElyGpd6vcM  1.8s  ETA 143 min
15:34:11    [ 333/4097] -P6nEMyReaE  1.6s  ETA 143 min
15:34:13    [ 334/4097] 9De2rgypTfo  2.8s  ETA 143 min
15:34:16    [ 335/4097] C1EZ_2Fm1O4  2.9s  ETA 143 min
15:34:18    [ 336/4097] J_lweeqInQo  1.3s  ETA 143 min
15:34:19    [ 337/4097] 6IiL4MF0Z0s  1.4s  ETA 143 min
15:34:21    [ 338/4097] 36xzrUTlmKw  1.6s  ETA 143 min
15:34:23    [ 339/4097] CTwZONeLVrM  2.1s  ETA 143 min
15:34:25    [ 340/4097] 3KALVyKRScs  1.8s  ETA 142 min
15:34:26    [ 341/4097] 8B0fnWSFtyQ  1.3s  ETA 142 min
15:34:28    [ 342/4097] JJAwEOQr7Co  2.3s  ETA 142 min
15:34:30    [ 343/4097] BaT_gnccoF4  1.4s  ETA 142 min
15:34:33    [ 344/4097] I89oTOuj1Ew  3.1s  ETA 142 min
15:34:35    [ 345/4097] 1H2XD5lUp8w  2.3s  ETA 142 min
15:34:37    [ 346/4097] MpMwOWkg1u4  1.8s  ETA 142 min
15:34:38    [ 347/4097] 4gyda6wcww0  1.5s  ETA 142 min
15:34:39    [ 348/4097] 3mV_kzIAfb8  1.3s  ETA 142 min
